synapse_id,expected_name,relative_path
syn54243911,clip00_label8.npy,TEST/subject09_config1/clip00_label8.npy
syn54244913,clip01_label0.npy,TEST/subject09_config1/clip01_label0.npy
syn54245509,clip02_label8.npy,TEST/subject09_config1/clip02_label8.npy
syn54243817,clip03_label1.npy,TEST/subject09_config1/clip03_label1.npy
syn54244313,clip04_label8.npy,TEST/subject09_config1/clip04_label8.npy
syn54245169,clip05_label1.npy,TEST/subject09_config1/clip05_label1.npy
syn54245604,clip06_label8.npy,TEST/subject09_config1/clip06_label8.npy
syn54243623,clip07_label2.npy,TEST/subject09_config1/clip07_label2.npy
syn54244745,clip08_label6.npy,TEST/subject09_config1/clip08_label6.npy
syn54244061,clip09_label3.npy,TEST/subject09_config1/clip09_label3.npy
syn54244202,clip10_label7.npy,TEST/subject09_config1/clip10_label7.npy
syn54245730,clip11_label2.npy,TEST/subject09_config1/clip11_label2.npy
syn54245920,clip12_label6.npy,TEST/subject09_config1/clip12_label6.npy
syn54243514,clip13_label3.npy,TEST/subject09_config1/clip13_label3.npy
syn54243453,clip14_label8.npy,TEST/subject09_config1/clip14_label8.npy
syn54243132,clip15_label4.npy,TEST/subject09_config1/clip15_label4.npy
syn54244612,clip16_label8.npy,TEST/subject09_config1/clip16_label8.npy
syn54245383,clip17_label5.npy,TEST/subject09_config1/clip17_label5.npy
syn54244515,clip18_label2.npy,TEST/subject09_config1/clip18_label2.npy
syn54243325,clip19_label9.npy,TEST/subject09_config1/clip19_label9.npy
syn54243239,clip20_label3.npy,TEST/subject09_config1/clip20_label3.npy
syn54247259,clip00_label8.npy,TEST/subject09_config2/clip00_label8.npy
syn54248220,clip01_label0.npy,TEST/subject09_config2/clip01_label0.npy
syn54248806,clip02_label8.npy,TEST/subject09_config2/clip02_label8.npy
syn54247134,clip03_label1.npy,TEST/subject09_config2/clip03_label1.npy
syn54247782,clip04_label8.npy,TEST/subject09_config2/clip04_label8.npy
syn54248445,clip05_label1.npy,TEST/subject09_config2/clip05_label1.npy
syn54248906,clip06_label8.npy,TEST/subject09_config2/clip06_label8.npy
syn54246936,clip07_label2.npy,TEST/subject09_config2/clip07_label2.npy
syn54248053,clip08_label6.npy,TEST/subject09_config2/clip08_label6.npy
syn54247402,clip09_label3.npy,TEST/subject09_config2/clip09_label3.npy
syn54247609,clip10_label7.npy,TEST/subject09_config2/clip10_label7.npy
syn54249104,clip11_label2.npy,TEST/subject09_config2/clip11_label2.npy
syn54249491,clip12_label6.npy,TEST/subject09_config2/clip12_label6.npy
syn54246669,clip13_label3.npy,TEST/subject09_config2/clip13_label3.npy
syn54246431,clip14_label8.npy,TEST/subject09_config2/clip14_label8.npy
syn54246240,clip15_label4.npy,TEST/subject09_config2/clip15_label4.npy
syn54247886,clip16_label8.npy,TEST/subject09_config2/clip16_label8.npy
syn54248711,clip17_label5.npy,TEST/subject09_config2/clip17_label5.npy
syn54249655,clip18_label8.npy,TEST/subject09_config2/clip18_label8.npy
syn54249850,clip19_label2.npy,TEST/subject09_config2/clip19_label2.npy
syn54249289,clip20_label9.npy,TEST/subject09_config2/clip20_label9.npy
syn54246571,clip21_label3.npy,TEST/subject09_config2/clip21_label3.npy
syn54246834,clip22_label8.npy,TEST/subject09_config2/clip22_label8.npy
syn54236797,clip00_label8.npy,TEST/subject09_config3/clip00_label8.npy
syn54236808,clip01_label0.npy,TEST/subject09_config3/clip01_label0.npy
syn54236813,clip02_label8.npy,TEST/subject09_config3/clip02_label8.npy
syn54236796,clip03_label1.npy,TEST/subject09_config3/clip03_label1.npy
syn54236805,clip04_label8.npy,TEST/subject09_config3/clip04_label8.npy
syn54236809,clip05_label1.npy,TEST/subject09_config3/clip05_label1.npy
syn54236814,clip06_label8.npy,TEST/subject09_config3/clip06_label8.npy
syn54236794,clip07_label2.npy,TEST/subject09_config3/clip07_label2.npy
syn54236807,clip08_label6.npy,TEST/subject09_config3/clip08_label6.npy
syn54236802,clip09_label3.npy,TEST/subject09_config3/clip09_label3.npy
syn54236804,clip10_label7.npy,TEST/subject09_config3/clip10_label7.npy
syn54236816,clip11_label2.npy,TEST/subject09_config3/clip11_label2.npy
syn54236818,clip12_label6.npy,TEST/subject09_config3/clip12_label6.npy
syn54236792,clip13_label3.npy,TEST/subject09_config3/clip13_label3.npy
syn54236784,clip14_label8.npy,TEST/subject09_config3/clip14_label8.npy
syn54236783,clip15_label4.npy,TEST/subject09_config3/clip15_label4.npy
syn54236806,clip16_label8.npy,TEST/subject09_config3/clip16_label8.npy
syn54236811,clip17_label5.npy,TEST/subject09_config3/clip17_label5.npy
syn54236819,clip18_label8.npy,TEST/subject09_config3/clip18_label8.npy
syn54236828,clip19_label2.npy,TEST/subject09_config3/clip19_label2.npy
syn54236817,clip20_label9.npy,TEST/subject09_config3/clip20_label9.npy
syn54236790,clip21_label3.npy,TEST/subject09_config3/clip21_label3.npy
syn54236793,clip22_label8.npy,TEST/subject09_config3/clip22_label8.npy
syn54237819,clip00_label8.npy,TEST/subject12_config1/clip00_label8.npy
